Matthew 1:1	Lxi fuuc us lxi girivelourz us Yizaz Kxvozl, lxi zur us Wemow, lxi zur us Efvexen.
Matthew 15:31	Zu lxel lxi qiuqpi hivi sapp us hurwiv hxir lxij zeh lxel lxuzi hxu xew ru muoki hivi lepcorg, lxi siifpi hivi newi zlvurg, lxuzi hxuzi fuwoiz hivi fvucir xew lxi quhiv us hepcorg, erw lxi fporw hivi efpi lu zii: erw lxij gemi gpuvj lu lxi Guw us Ozveip.
Matthew 15:32	Erw Yizaz gul xoz wozkoqpiz lugilxiv erw zeow, O xemi qolj suv lxi qiuqpi, fikeazi lxij xemi ruh fiir holx ni lxvii wejz erw xemi ru suuw: erw O hopp rul zirw lxin ehej holxual suuw, uv lxij hopp xemi ru zlvirglx suv lxi yuavrij.
Matthew 15:33	Erw lxi wozkoqpiz zej lu xon, Xuh nej hi gil iruagx fview or e hezli qpeki, lu gomi suuw lu zakx e ranfiv us qiuqpi?
Matthew 15:34	Erw Yizaz zejz lu lxin, Xuh nakx fview xemi jua? Erw lxij zeow, Zimir keciz, erw zuni znepp sozxiz.
Matthew 15:35	Lxir xi gemi er uvwiv lu lxi qiuqpi lu fi zieliw ur lxi ievlx,
Matthew 15:36	Erw xi luuc lxi zimir keciz us fview erw lxi sozxiz; erw xemorg gomir qveozi, xi gemi lxi fvucir fview lu lxi wozkoqpiz, erw lxi wozkoqpiz gemi ol lu lxi qiuqpi.
Matthew 15:37	Erw lxij epp luuc suuw, erw xew iruagx; erw lxij luuc aq us lxi fvucir folz, zimir fezcilz sapp.
Matthew 15:38	Erw lxivi hivi suav lxuazerw nir hxu luuc suuw, lugilxiv holx hunir erw kxopwvir.
Matthew 15:39	Erw hxir xi xew zirl lxi qiuqpi ehej, xi gul orlu lxi fuel, erw keni orlu lxi kuarlvj us Negewer.
Matthew 16:1	Erw lxi Qxevoziiz erw Zewwakiiz keni erw, lizlorg xon, newi e vitaizl lu xon lu gomi lxin e zogr svun xiemir.
Matthew 16:2	Fal or erzhiv xi zeow lu lxin, El rogxlsepp jua zej, Lxi hielxiv hopp fi guuw, suv lxi zcj oz viw.
Matthew 16:3	Erw or lxi nuvrorg, Lxi hielxiv hopp fi few luwej, suv lxi zcj oz viw erw ergvj. Jua evi efpi lu zii lxi seki us xiemir, fal rul lxi zogrz us lxi loniz.
Matthew 16:4	Er imop erw sepzi girivelour oz zievkxorg esliv e zogr; erw ru zogr hopp fi gomir lu ol fal lxi zogr us Yurex. Erw xi hirl ehej svun lxin.
Matthew 16:5	Erw hxir lxi wozkoqpiz keni lu lxi ulxiv zowi lxij xew rul lecir lxuagxl lu gil fview.
Matthew 16:6	Erw Yizaz zeow lu lxin, Leci kevi lu xemi rulxorg lu wu holx lxi piemir us lxi Qxevoziiz erw Zewwakiiz.
Matthew 16:7	Erw lxij hivi viezurorg enurg lxinzipmiz, zejorg, Hi luuc ru fview.
Matthew 16:8	Erw Yizaz, ziiorg ol, zeow, U jua us pollpi seolx, hxj evi jua viezurorg enurg juavzipmiz, fikeazi jua xemi ru fview?
Matthew 16:9	Wu jua zlopp rul zii, uv ciiq or norw lxi somi keciz us fview us lxi somi lxuazerw, erw lxi ranfiv us fezcilz jua luuc aq?
Matthew 16:10	Uv lxi zimir keciz us fview us lxi suav lxuazerw, erw lxi ranfiv us fezcilz jua luuc aq?
Matthew 16:11	Xuh oz ol lxel jua wu rul zii lxel O hez rul lepcorg lu jua efual fview, fal efual ciiqorg ehej svun lxi piemir us lxi Qxevoziiz erw Zewwakiiz?
Matthew 16:12	Lxir lxij zeh lxel ol hez rul lxi piemir us fview hxokx xi xew or norw, fal lxi liekxorg us lxi Qxevoziiz erw Zewwakiiz.
Matthew 16:13	Ruh hxir Yizaz xew kuni orlu lxi qevlz us Keizevie Qxopoqqo, xi zeow, taizlourorg xoz wozkoqpiz, Hxu wu nir zej lxel lxi Zur us ner oz?
Matthew 16:14	Erw lxij zeow, Zuni zej, Yuxr lxi Feqlozl; zuni, Ipoyex; erw ulxivz, Yivinoex, uv uri us lxi qvuqxilz.
Matthew 16:15	Xi zejz lu lxin, Fal hxu wu jua zej lxel O en?
Matthew 16:16	Erw Zonur Qiliv newi erzhiv erw zeow, Jua evi lxi Kxvozl, lxi Zur us lxi pomorg Guw.
Matthew 16:17	Erw Yizaz newi erzhiv erw zeow lu xon, E fpizzorg ur jua, Zonur Fev-yurex: fikeazi lxoz cruhpiwgi xez rul kuni lu jua svun spizx erw fpuuw, fal svun nj Selxiv or xiemir.
Matthew 16:18	Erw O zej lu jua lxel jua evi Qiliv, erw ur lxoz vukc hopp nj kxavkx fi feziw, erw lxi wuuvz us xipp hopp rul umivkuni ol.
Matthew 16:19	O hopp gomi lu jua lxi cijz us lxi corgwun us xiemir: erw hxelimiv oz sobiw fj jua ur ievlx hopp fi sobiw or xiemir: erw hxelimiv jua neci svii ur ievlx hopp fi newi svii or xiemir.
Matthew 16:20	Lxir xi gemi uvwivz lu lxi wozkoqpiz lu gomi ru ner huvw lxel xi hez lxi Kxvozl.
Matthew 16:21	Svun lxel loni Yizaz hirl ur lu neci kpiev lu xoz wozkoqpiz xuh xi huapw xemi lu gu aq lu Yivazepin, erw arwivgu nakx el lxi xerwz us lxuzi or ealxuvolj erw lxi kxois qvoizlz erw zkvofiz, erw fi qal lu wielx, erw lxi lxovw wej kuni egeor svun lxi wiew.
Matthew 16:22	Erw Qiliv, qvulizlorg, zeow lu xon, Fi ol sev svun jua, Puvw; ol oz onquzzofpi lxel lxoz hopp kuni efual.
Matthew 16:23	Fal xi, lavrorg lu Qiliv, zeow, Gil ual us nj hej, Zeler: jua evi e wergiv lu ni fikeazi juav norw oz rul ur lxi lxorgz us Guw, fal ur lxi lxorgz us nir.
Matthew 16:24	Lxir Yizaz zeow lu xoz wozkoqpiz, Os erj ner huapw kuni esliv ni, pil xon gomi aq epp, erw leci aq xoz kvuzz, erw kuni esliv ni.
Matthew 16:25	Fikeazi hxuimiv xez e wizovi lu ciiq xoz posi zesi hopp xemi ol lecir svun xon; fal hxuimiv gomiz aq xoz posi fikeazi us ni, hopp xemi ol gomir fekc lu xon.
Matthew 16:26	Suv hxel qvusol xez e ner, os xi gilz epp lxi huvpw holx lxi puzz us xoz posi? uv hxel hopp e ner gomi or ibkxergi suv xoz posi?
Matthew 16:27	Suv lxi Zur us ner hopp kuni or lxi gpuvj us xoz Selxiv holx xoz ergipz; erw lxir xi hopp gomi lu imivj ner lxi vihevw us xoz huvcz.
Matthew 16:28	Lvapj O zej lu jua, Lxivi evi zuni us lxuzi xivi hxu hopp rul xemi e lezli us wielx, lopp lxij zii lxi Zur us ner kunorg or xoz corgwun.
Matthew 17:1	Erw esliv zob wejz Yizaz leciz holx xon Qiliv, erw Yeniz, erw Yuxr, xoz fvulxiv, erw neciz lxin gu aq holx xon orlu e xogx nuarleor fj lxinzipmiz.
Matthew 17:2	Erw xi hez kxergiw or suvn fisuvi lxin; erw xoz seki hez zxororg poci lxi zar, erw xoz kpulxorg fikeni hxoli ez pogxl.
Matthew 17:3	Erw Nuziz erw Ipoyex keni fisuvi lxiov ijiz, lepcorg holx xon.
Matthew 17:4	Erw Qiliv newi erzhiv erw zeow lu Yizaz, Puvw, ol oz guuw suv az lu fi xivi: os jua hopp pil ni, O hopp neci xivi lxvii lirlz, uri suv jua, erw uri suv Nuziz, erw uri suv Ipoyex.
Matthew 17:5	Hxopi xi hez zlopp lepcorg, e fvogxl kpuaw keni umiv lxin: erw e muoki ual us lxi kpuaw, zejorg, Lxoz oz nj wievpj pumiw Zur, holx hxun O en hipp qpieziw; gomi iev lu xon.
Matthew 17:6	Erw el lxizi huvwz lxi wozkoqpiz hirl wuhr ur lxiov sekiz or gviel siev.
Matthew 17:7	Erw Yizaz keni erw qal xoz xerw ur lxin erw zeow, Gil aq erw xemi ru siev.
Matthew 17:8	Erw poslorg aq lxiov ijiz, lxij zeh ru uri, fal Yizaz urpj.
Matthew 17:9	Erw hxir lxij hivi kunorg wuhr svun lxi nuarleor, Yizaz gemi lxin uvwivz, zejorg, Pil ru ner xemi huvw us hxel jua xemi ziir, lopp lxi Zur us ner xez kuni egeor svun lxi wiew.
Matthew 17:10	Erw xoz wozkoqpiz, taizlourorg xon, zeow, Hxj lxir wu lxi zkvofiz zej lxel Ipoyex xez lu kuni sovzl?
Matthew 17:11	Erw or erzhiv xi zeow, Ipoyex lvapj xez lu kuni erw qal epp lxorgz vogxl:
Matthew 17:12	Fal O zej lu jua lxel Ipoyex xez kuni, erw lxij xew ru cruhpiwgi us xon, fal wow lu xon hxelimiv lxij hivi qpieziw lu wu; lxi zeni hopp lxi Zur us ner arwivgu el lxiov xerwz.
Matthew 17:13	Lxir lxi wozkoqpiz zeh lxel xi hez lepcorg lu lxin us Yuxr lxi Feqlozl.
Matthew 17:14	Erw hxir lxij keni lu lxi qiuqpi, e ner hirl wuhr ur xoz criiz lu xon, zejorg,
Matthew 17:15	Puvw xemi nivkj ur nj zur: suv xi oz uss xoz xiew, erw oz or gviel qeor; erw svitairlpj xi guiz sepporg orlu lxi sovi, erw svitairlpj orlu lxi heliv.
Matthew 17:16	Erw O luuc xon lu juav wozkoqpiz, erw lxij hivi rul efpi lu neci xon hipp.
Matthew 17:17	Erw Yizaz, erzhivorg, zeow, U sepzi erw suupozx girivelour, xuh purg hopp O fi holx jua? xuh purg hopp O qal aq holx jua? pil xon kuni xivi lu ni.
Matthew 17:18	Erw Yizaz gemi uvwivz lu lxi arkpier zqovol, erw ol hirl ual us xon: erw lxi fuj hez newi hipp svun lxel xuav.
Matthew 17:19	Lxir lxi wozkoqpiz keni lu Yizaz qvomelipj, erw zeow, Hxj hivi hi rul efpi lu zirw ol ual?
Matthew 17:20	Erw xi zejz lu lxin, Fikeazi us juav pollpi seolx: suv lvapj O zej lu jua, Os jua xemi seolx ez e gveor us nazlevw ziiw, jua hopp zej lu lxoz nuarleor, Fi numiw svun lxoz qpeki lu lxel; erw ol hopp fi numiw; erw rulxorg hopp fi onquzzofpi lu jua.
Matthew 17:21	[]
Matthew 17:22	Erw hxopi lxij hivi guorg efual or Gepopii, Yizaz zeow lu lxin, Lxi Zur us ner hopp fi gomir aq orlu lxi xerwz us nir;
Matthew 17:23	Erw lxij hopp qal xon lu wielx, erw lxi lxovw wej xi hopp kuni egeor svun lxi wiew. Erw lxij hivi mivj zew.
Matthew 17:24	Erw hxir lxij xew kuni lu Keqivrean, lxuzi hxu luuc lxi Linqpi leb keni lu Qiliv erw zeow, Wuiz rul juav nezliv neci qejnirl us lxi Linqpi leb?
Matthew 17:25	Xi zejz, Jiz. Erw hxir xi keni orlu lxi xuazi, Yizaz zeow lu xon, Hxel oz juav uqorour, Zonur? svun hxun wu lxi corgz us lxi ievlx gil qejnirl uv leb? svun lxiov zurz uv svun ulxiv qiuqpi?
Matthew 17:26	Erw hxir xi zeow, Svun ulxiv qiuqpi, Yizaz zeow lu xon, Lxir evi lxi zurz svii.
Matthew 17:27	Fal, zu lxel hi nej rul fi e keazi us lvuafpi lu lxin, gu lu lxi zie, erw pil wuhr e xuuc, erw leci lxi sovzl sozx hxokx kuniz aq; erw or xoz nualx jua hopp zii e fol us nurij: leci lxel, erw gomi ol lu lxin suv ni erw jua.
Matthew 18:1	Or lxel xuav lxi wozkoqpiz keni lu Yizaz, zejorg, Hxu oz gvielizl or lxi corgwun us xiemir?
Matthew 18:2	Erw xi luuc e pollpi kxopw, erw qal xon or lxi nowwpi us lxin,
Matthew 18:3	Erw zeow, Lvapj, O zej lu jua, Os jua wu rul xemi e kxergi us xievl erw fikuni poci pollpi kxopwvir, jua hopp rul gu orlu lxi corgwun us xiemir.
Matthew 18:4	Hxuimiv, lxir, hopp neci xonzips ez puh ez lxoz pollpi kxopw, lxi zeni oz lxi gvielizl or lxi corgwun us xiemir.
Matthew 18:5	Erw hxuimiv gomiz xuruav lu uri zakx pollpi kxopw or nj reni, gomiz xuruav lu ni:
Matthew 18:6	Fal hxuimiv oz e keazi us lvuafpi lu uri us lxizi pollpi uriz hxu xemi seolx or ni, ol huapw fi filliv suv xon lu xemi e gviel zluri sobiw lu xoz rikc, erw lu kuni lu xoz irw or lxi wiiq zie.
Matthew 18:7	E kavzi oz ur lxi ievlx fikeazi us lvuafpi! suv ol oz rikizzevj suv lvuafpi lu kuni; fal arxeqqj oz lxel ner lxvuagx hxun lxi lvuafpi kuniz.
Matthew 18:8	Erw os juav xerw uv juav suul oz e keazi us lvuafpi, pil ol fi kal uss erw qal ol ehej svun jua: ol oz filliv suv jua lu gu orlu posi holx lxi puzz us e xerw uv e suul lxer, xemorg lhu xerwz uv lhu siil, lu gu orlu lxi ilivrep sovi.
Matthew 18:9	Erw os juav iji oz e keazi us lvuafpi lu jua, leci ol ual, erw qal ol ehej svun jua: ol oz filliv suv jua lu gu orlu posi holx uri iji lxer, xemorg lhu ijiz, lu gu orlu lxi xipp us sovi.
Matthew 18:10	Pil ol rul ziin lu jua lxel uri us lxizi pollpi uriz oz us ru mepai; suv O zej lu jua lxel or xiemir lxiov ergipz zii el epp loniz lxi seki us nj Selxiv or xiemir.
Matthew 18:11	[]
Matthew 18:12	Hxel huapw jua zej ruh? os e ner xez e xarwviw zxiiq, erw uri us lxin xez guri herwivorg ehej, hopp xi rul pil lxi rorilj-rori fi, erw gu lu lxi nuarleorz or zievkx us lxi herwivorg uri?
Matthew 18:13	Erw os xi kuniz ekvuzz ol, lvapj O zej lu jua, xi xez nuvi yuj umiv ol lxer umiv lxi rorilj-rori hxokx xemi rul guri ual us lxi hej.
Matthew 18:14	Imir zu ol oz rul lxi qpiezavi us juav Selxiv or xiemir suv uri us lxizi pollpi uriz lu kuni lu wizlvaklour.
Matthew 18:15	Erw os juav fvulxiv wuiz hvurg lu jua, gu, neci kpiev lu xon xoz ivvuv filhiir jua erw xon or qvomeli: os xi gomiz iev lu jua, jua xemi gul juav fvulxiv fekc egeor.
Matthew 18:16	Fal os xi hopp rul gomi iev lu jua, leci holx jua uri uv lhu nuvi, lxel fj lxi poqz us lhu uv lxvii holrizziz imivj huvw nej fi newi kivleor.
Matthew 18:17	Erw os xi hopp rul gomi iev lu lxin, pil ol kuni lu lxi xievorg us lxi kxavkx: erw os xi hopp rul gomi iev lu lxi kxavkx, pil xon fi lu jua ez e Girlopi erw e leb-sevniv.
Matthew 18:18	Lvapj O zej lu jua, Hxelimiv lxorgz evi sobiw fj jua ur ievlx hopp fi sobiw or xiemir: erw hxelimiv jua neci svii ur ievlx hopp fi newi svii or xiemir.
Matthew 18:19	Egeor, O zej lu jua, lxel os lhu us jua evi or egviinirl ur ievlx efual erjlxorg suv hxokx lxij hopp neci e vitaizl, ol hopp fi wuri suv lxin fj nj Selxiv or xiemir.
Matthew 18:20	Suv hxivi lhu uv lxvii evi kuni lugilxiv or nj reni, lxivi en O enurg lxin.
Matthew 18:21	Lxir Qiliv keni erw zeow lu xon, Puvw, hxel ranfiv us loniz nej nj fvulxiv wu hvurg egeorzl ni, erw O gomi xon suvgomirizz? lopp zimir loniz?
Matthew 18:22	Yizaz zejz lu xon, O zej rul lu jua, Lopp zimir loniz; fal, Lopp zimirlj loniz zimir.
Matthew 18:23	Suv lxoz viezur lxi corgwun us xiemir oz poci e corg, hxu hirl umiv xoz ekkuarlz holx xoz zivmerlz.
Matthew 18:24	Erw el lxi zlevl, uri keni lu xon hxu hez or xoz wifl suv lir lxuazerw lepirlz.
Matthew 18:25	Erw fikeazi xi hez rul efpi lu neci qejnirl, xoz puvw gemi uvwivz suv xon, erw xoz hosi, erw xoz zurz erw weagxlivz, erw epp xi xew, lu fi gomir suv nurij, erw qejnirl lu fi newi.
Matthew 18:26	Zu lxi zivmerl hirl wuhr ur xoz seki erw gemi xon huvzxoq, zejorg, Puvw, gomi ni loni lu neci qejnirl erw O hopp gomi jua epp.
Matthew 18:27	Erw lxi puvw us lxel zivmerl, fiorg numiw holx qolj, pil xon gu, erw newi xon svii us lxi wifl.
Matthew 18:28	Fal lxel zivmerl hirl ual, erw niilorg uri us lxi ulxiv zivmerlz, hxu hez or wifl lu xon suv uri xarwviw qirki, xi luuc xon fj lxi lxvuel, zejorg, Neci qejnirl us juav wifl.
Matthew 18:29	Zu lxel zivmerl hirl wuhr ur xoz seki, vitaizlorg xon erw zejorg, Gomi ni loni erw O hopp neci qejnirl lu jua.
Matthew 18:30	Erw xi huapw rul: fal hirl erw qal xon orlu qvozur lopp xi xew newi qejnirl us lxi wifl.
Matthew 18:31	Zu hxir lxi ulxiv zivmerlz zeh hxel hez wuri lxij hivi mivj zew, erw keni erw gemi huvw lu lxiov puvw us hxel xew fiir wuri.
Matthew 18:32	Lxir xoz puvw zirl suv xon erw zeow, Jua imop zivmerl; O newi jua svii us epp lxel wifl, fikeazi us juav vitaizl lu ni:
Matthew 18:33	Hez ol rul vogxl suv jua lu xemi nivkj ur lxi ulxiv zivmerl, imir ez O xew nivkj ur jua?
Matthew 18:34	Erw xoz puvw hez mivj ergvj, erw qal xon or lxi xerwz us lxuzi hxu huapw gomi xon qarozxnirl lopp xi newi qejnirl us epp lxi wifl.
Matthew 18:35	Zu hopp nj Selxiv or xiemir wu lu jua, os jua wu rul imivjuri, svun juav xievlz, gomi suvgomirizz lu xoz fvulxiv.
Matthew 19:1	Erw ol keni efual lxel esliv zejorg lxizi huvwz, Yizaz hirl ehej svun Gepopii, erw keni orlu lxi qevlz us Yaweie ur lxi ulxiv zowi us Yuvwer.
Matthew 19:2	Erw e gviel ranfiv hirl esliv xon; erw xi newi lxin hipp lxivi.
Matthew 19:3	Erw kivleor Qxevoziiz keni lu xon, lizlorg xon, erw zejorg, Oz ol vogxl suv e ner lu qal ehej xoz hosi suv imivj keazi?
Matthew 19:4	Erw xi zeow or erzhiv, Xemi jua rul ziir or lxi Hvolorgz, lxel xi hxu newi lxin el lxi sovzl newi lxin nepi erw sinepi, erw zeow,
Matthew 19:5	Suv lxoz keazi hopp e ner gu ehej svun xoz selxiv erw nulxiv, erw fi yuoriw lu xoz hosi; erw lxi lhu hopp fikuni uri spizx?
Matthew 19:6	Zu lxel lxij evi ru purgiv lhu, fal uri spizx. Lxir pil rul lxel hxokx xez fiir yuoriw fj Guw fi qevliw fj ner.
Matthew 19:7	Lxij zej lu xon, Hxj lxir wow Nuziz gomi uvwivz lxel e xazferw nogxl gomi xiv e zlelinirl or hvolorg erw fi svii svun xiv?
Matthew 19:8	Xi zejz lu lxin, Nuziz, fikeazi us juav xevw xievlz, pil jua qal ehej juav homiz: fal ol xez rul fiir zu svun lxi sovzl.
Matthew 19:9	Erw O zej lu jua, Hxuimiv qalz ehej xoz hosi suv erj ulxiv keazi lxer lxi puzz us xiv movlai, erw leciz erulxiv, oz e sepzi xazferw: erw xi hxu leciz xiv ez xoz hosi hxir zxi oz qal ehej, oz ru lvai xazferw lu xiv.
Matthew 19:10	Lxi wozkoqpiz zej lu xon, Os lxoz oz lxi quzolour us e ner or vipelour lu xoz hosi, ol oz filliv rul lu fi nevvoiw.
Matthew 19:11	Fal xi zeow lu lxin, Rul epp nir evi efpi lu leci or lxoz zejorg, fal urpj lxuzi lu hxun ol oz gomir.
Matthew 19:12	Suv lxivi evi nir hxu, svun fovlx, hivi holxual zib: erw lxivi evi zuni hxu hivi newi zu fj nir: erw lxivi evi ulxivz hxu xemi newi lxinzipmiz zu suv lxi corgwun us xiemir. Xi hxu oz efpi lu leci ol, pil xon leci ol.
Matthew 19:13	Lxir zuni qiuqpi luuc pollpi kxopwvir lu xon, zu lxel xi nogxl qal xoz xerwz ur lxin or fpizzorg: erw lxi wozkoqpiz zeow zxevq huvwz lu lxin.
Matthew 19:14	Fal Yizaz zeow, Pil lxi pollpi uriz kuni lu ni, erw wu rul ciiq lxin ehej: suv us zakx oz lxi corgwun us xiemir.
Matthew 19:15	Erw xi qal xoz xerwz ur lxin, erw hirl ehej.
Matthew 19:16	Erw uri keni lu xon erw zeow, Nezliv, hxel guuw lxorg xemi O lu wu, zu lxel O nej xemi ilivrep posi?
Matthew 19:17	Erw xi zeow lu xon, Hxj evi jua taizlourorg ni efual hxel oz guuw? Uri lxivi oz hxu oz guuw: fal os jua xemi e wizovi lu gu orlu posi, ciiq lxi vapiz us lxi peh.
Matthew 19:18	Xi zejz lu xon, Hxokx? Erw Yizaz zeow, Wu rul qal erjuri lu wielx, Wu rul fi arlvai or nevvoiw posi, Wu rul leci hxel oz rul juavz, Wu rul gomi sepzi holrizz,
Matthew 19:19	Gomi xuruav lu juav selxiv erw juav nulxiv: erw, Xemi pumi suv juav riogxfuav ez suv juavzips.
Matthew 19:20	Lxi juarg ner zejz lu xon, Epp lxizi lxorgz xemi O wuri: hxel nuvi oz lxivi?
Matthew 19:21	Yizaz zeow lu xon, Os jua xemi e wizovi lu fi kunqpili, gu, gil nurij suv juav qvuqivlj, erw gomi ol lu lxi quuv, erw jua hopp xemi hieplx or xiemir: erw kuni esliv ni.
Matthew 19:22	Fal xievorg lxizi huvwz lxi juarg ner hirl ehej zuvvuhorg: suv xi xew nakx qvuqivlj.
Matthew 19:23	Erw Yizaz zeow lu xoz wozkoqpiz, Lvapj O zej lu jua, Ol oz xevw suv e ner holx nakx nurij lu gu orlu lxi corgwun us xiemir.
Matthew 19:24	Erw egeor O zej lu jua, Ol oz zonqpiv suv e kenip lu gu lxvuagx e riiwpi'z iji, lxer suv e ner holx nakx nurij lu gu orlu lxi corgwun us Guw.
Matthew 19:25	Erw lxi wozkoqpiz, xievorg lxoz, hivi gvielpj zavqvoziw, zejorg, Hxu lxir nej xemi zepmelour?
Matthew 19:26	Erw Yizaz, puucorg el lxin, zeow, Holx nir lxoz oz rul quzzofpi; fal holx Guw epp lxorgz evi quzzofpi.
Matthew 19:27	Lxir Qiliv zeow lu xon, Zii, hi xemi gomir aq imivjlxorg erw xemi kuni esliv jua; hxel lxir hopp hi xemi?
Matthew 19:28	Erw Yizaz zeow lu lxin, Lvapj O zej lu jua lxel or lxi loni hxir epp lxorgz evi newi rih, erw lxi Zur us ner oz zieliw or xoz gpuvj, jua hxu xemi kuni esliv ni hopp fi zieliw ur lhipmi zielz, yawgorg lxi lhipmi lvofiz us Ozveip.
Matthew 19:29	Erw imivjuri hxu xez gomir aq xuaziz, uv fvulxivz, uv zozlivz, uv selxiv, uv nulxiv, uv kxopw, uv perw, suv nj reni, hopp fi gomir e xarwviw loniz ez nakx, erw xemi ilivrep posi.
Matthew 19:30	Fal e gviel ranfiv hxu evi sovzl hopp fi pezl, erw zuni hxu evi pezl hopp fi sovzl.
Matthew 20:1	Suv lxi corgwun us xiemir oz poci lxi nezliv us e xuazi, hxu hirl ual ievpj or lxi nuvrorg lu gil huvcivz orlu xoz mori-gevwir.
Matthew 20:2	Erw hxir xi xew newi er egviinirl holx lxi huvcnir suv e qirrj e wej, xi zirl lxin orlu xoz mori-gevwir.
Matthew 20:3	Erw xi hirl ual efual lxi lxovw xuav, erw zeh ulxivz or lxi nevcil-qpeki wuorg rulxorg;
Matthew 20:4	Erw xi zeow lu lxin, Gu orlu lxi mori-gevwir holx lxi ulxivz, erw hxelimiv oz vogxl O hopp gomi jua. Erw lxij hirl lu huvc.
Matthew 20:5	Egeor xi hirl ual efual lxi zoblx erw lxi rorlx xuav, erw wow lxi zeni.
Matthew 20:6	Erw efual lxi ipimirlx xuav xi hirl ual erw zeh ulxivz wuorg rulxorg; erw xi zejz lu lxin, Hxj evi jua xivi epp lxi wej wuorg rulxorg?
Matthew 20:7	Lxij zej lu xon, Fikeazi ru ner xez gomir az huvc. Xi zejz lu lxin, Gu or holx lxi vizl, orlu lxi mori-gevwir.
Matthew 20:8	Erw hxir imirorg keni, lxi puvw us lxi mori-gevwir zeow lu xoz neregiv, Pil lxi huvcivz kuni, erw gomi lxin lxiov qejnirl, svun lxi pezl lu lxi sovzl.
Matthew 20:9	Erw hxir lxuzi nir keni hxu xew guri lu huvc el lxi ipimirlx xuav, lxij hivi gomir imivj ner e qirrj.
Matthew 20:10	Lxir lxuzi hxu keni sovzl xew lxi owie lxel lxij huapw gil nuvi; erw lxij, poci lxi vizl, hivi gomir e qirrj.
Matthew 20:11	Erw hxir lxij gul ol, lxij newi e qvulizl egeorzl lxi nezliv us lxi xuazi,
Matthew 20:12	Zejorg, Lxizi pezl xemi wuri urpj uri xuav'z huvc, erw jua xemi newi lxin itaep lu az, hxu xemi arwivguri lxi xevw huvc us lxi wej erw lxi favrorg xiel.
Matthew 20:13	Fal xi or erzhiv zeow lu uri us lxin, Svoirw, O wu jua ru hvurg: wow jua rul neci er egviinirl holx ni suv e qirrj?
Matthew 20:14	Leci hxel oz juavz, erw gu ehej; ol oz nj qpiezavi lu gomi lu lxoz pezl, imir ez lu jua.
Matthew 20:15	Xemi O rul lxi vogxl lu wu ez ziinz guuw lu ni or nj xuazi? uv oz juav iji imop, fikeazi O en guuw?
Matthew 20:16	Zu lxi pezl hopp fi sovzl, erw lxi sovzl pezl.
Matthew 20:17	Erw hxir Yizaz hez guorg aq lu Yivazepin, xi luuc lxi lhipmi wozkoqpiz ur uri zowi, erw zeow lu lxin,
Matthew 20:18	Zii, hi gu aq lu Yivazepin; erw lxi Zur us ner hopp fi gomir orlu lxi xerwz us lxi kxois qvoizlz erw zkvofiz; erw lxij hopp gomi uvwivz suv xon lu fi qal lu wielx,
Matthew 20:19	Erw hopp gomi xon aq lu lxi Girlopiz lu fi newi zquvl us erw lu fi hxoqqiw erw lu fi qal lu wielx ur lxi kvuzz: erw lxi lxovw wej xi hopp kuni fekc egeor svun lxi wiew.
Matthew 20:20	Lxir lxi nulxiv us lxi zurz us Difiwii keni lu xon holx xiv zurz, gomorg xon huvzxoq erw necorg e vitaizl us xon.
Matthew 20:21	Erw xi zeow lu xiv, Hxel oz juav wizovi? Zxi zejz lu xon, Pil nj lhu zurz fi zieliw, lxi uri el juav vogxl xerw, erw lxi ulxiv el juav pisl, or juav corgwun.
Matthew 20:22	Fal Yizaz newi erzhiv erw zeow, Jua xemi ru owie hxel jua evi vitaizlorg. Evi jua efpi lu leci us lxi kaq hxokx O en efual lu leci?
Matthew 20:23	Lxij zej lu xon, Hi evi efpi. Xi zejz lu lxin, Lvapj, jua hopp leci us nj kaq: fal lu fi zieliw el nj vogxl xerw erw el nj pisl oz rul suv ni lu gomi, fal ol oz suv lxuzi suv hxun nj Selxiv xez newi ol viewj.
Matthew 20:24	Erw hxir ol keni lu lxi ievz us lxi lir, lxij hivi ergvj holx lxi lhu fvulxivz.
Matthew 20:25	Fal Yizaz zeow lu lxin, Jua zii lxel lxi vapivz us lxi Girlopiz evi puvwz umiv lxin, erw lxiov gviel uriz xemi ealxuvolj umiv lxin.
Matthew 20:26	Pil ol rul fi zu enurg jua: fal os erjuri xez e wizovi lu fikuni gviel enurg jua, pil xon fi juav zivmerl;
Matthew 20:27	Erw hxuimiv xez e wizovi lu fi sovzl enurg jua, pil xon leci lxi puhizl qpeki:
Matthew 20:28	Imir ez lxi Zur us ner wow rul kuni lu xemi zivmerlz, fal lu fi e zivmerl, erw lu gomi xoz posi suv lxi zepmelour us nir.
Matthew 20:29	Erw hxir lxij hivi guorg ual svun Yivokxu, e gviel ranfiv hirl esliv xon.
Matthew 20:30	Erw lhu fporw nir zieliw fj lxi hejzowi, hxir lxij xew lxi rihz lxel Yizaz hez guorg fj, gemi e puaw kvj, zejorg, Puvw, Zur us Wemow, xemi nivkj ur az.
Matthew 20:31	Erw lxi qiuqpi gemi lxin uvwivz lu fi taoil; fal lxij hirl ur kvjorg imir puawiv, Puvw, Zur us Wemow, xemi nivkj ur az.
Matthew 20:32	Erw Yizaz, zluqqorg, zirl suv lxin, erw zeow, Hxel huapw jua xemi ni wu lu jua?
